69D2E7	A7DBD8	E0E4CC	F38630	FA6900
FE4365	FC9D9A	F9CDAD	C8C8A9	83AF9B
ECD078	D95B43	C02942	542437	53777A
556270	4ECDC4	C7F464	FF6B6B	C44D58
774F38	E08E79	F1D4AF	ECE5CE	C5E0DC
E8DDCB	CDB380	036564	033649	031634
490A3D	BD1550	E97F02	F8CA00	8A9B0F
594F4F	547980	45ADA8	9DE0AD	E5FCC2
00A0B0	6A4A3C	CC333F	EB6841	EDC951
E94E77	D68189	C6A49A	C6E5D9	F4EAD5
3FB8AF	7FC7AF	DAD8A7	FF9E9D	FF3D7F
D9CEB2	948C75	D5DED9	7A6A53	99B2B7
FFFFFF	CBE86B	F2E9E1	1C140D	CBE86B
343838	005F6B	008C9E	00B4CC	00DFFC
EFFFCD	DCE9BE	555152	2E2633	99173C
413E4A	73626E	B38184	F0B49E	F7E4BE
FF4E50	FC913A	F9D423	EDE574	E1F5C4
99B898	FECEA8	FF847C	E84A5F	2A363B
655643	80BCA3	F6F7BD	E6AC27	BF4D28
00A8C6	40C0CB	F9F2E7	AEE239	8FBE00
351330	424254	64908A	E8CAA4	CC2A41
554236	F77825	D3CE3D	F1EFA5	60B99A
5D4157	838689	A8CABA	CAD7B2	EBE3AA
FAD089	FF9C5B	F5634A	ED303C	3B8183
8C2318	5E8C6A	88A65E	BFB35A	F2C45A
F8B195	F67280	C06C84	6C5B7B	355C7D
FF4242	F4FAD2	D4EE5E	E1EDB9	F0F2EB
D1E751	FFFFFF	000000	4DBCE9	26ADE4
1B676B	519548	88C425	BEF202	EAFDE6
5E412F	FCEBB6	78C0A8	F07818	F0A830
BCBDAC	CFBE27	F27435	F02475	3B2D38
452632	91204D	E4844A	E8BF56	E2F7CE
EEE6AB	C5BC8E	696758	45484B	36393B
F0D8A8	3D1C00	86B8B1	F2D694	FA2A00
2A044A	0B2E59	0D6759	7AB317	A0C55F
F04155	FF823A	F2F26F	FFF7BD	95CFB7
B9D7D9	668284	2A2829	493736	7B3B3B
B3CC57	ECF081	FFBE40	EF746F	AB3E5B
BBBB88	CCC68D	EEDD99	EEC290	EEAA88
AAB3AB	C4CBB7	EBEFC9	EEE0B7	E8CAAF
A3A948	EDB92E	F85931	CE1836	009989
300030	480048	601848	C04848	F07241
B6D8C0	C8D9BF	DADABD	ECDBBC	FEDCBA
E8D5B7	0E2430	FC3A51	F5B349	E8D5B9
67917A	170409	B8AF03	CCBF82	E33258
607848	789048	C0D860	F0F0D8	604848
AB526B	BCA297	C5CEAE	F0E2A4	F4EBC3
A8E6CE	DCEDC2	FFD3B5	FFAAA6	FF8C94
3E4147	FFFEDF	DFBA69	5A2E2E	2A2C31
515151	FFFFFF	00B4FF	EEEEEE
FC354C	29221F	13747D	0ABFBC	FCF7C5
A7C5BD	E5DDCB	EB7B59	CF4647	524656
CC0C39	E6781E	C8CF02	F8FCC1	1693A7
DAD6CA	1BB0CE	4F8699	6A5E72	563444
1C2130	028F76	B3E099	FFEAAD	D14334
EDEBE6	D6E1C7	94C7B6	403B33	D3643B
5C323E	A82743	E15E32	C0D23E	E5F04C
FDF1CC	C6D6B8	987F69	E3AD40	FCD036
230F2B	F21D41	EBEBBC	BCE3C5	82B3AE
B9D3B0	81BDA4	B28774	F88F79	F6AA93
3A111C	574951	83988E	BCDEA5	E6F9BC
A1DBB2	FEE5AD	FACA66	F7A541	F45D4C
000000	9F111B	B11623	292C37	CCCCCC
382F32	FFEAF2	FCD9E5	FBC5D8	F1396D
1B325F	9CC4E4	E9F2F9	3A89C9	F26C4F
F6F6F6	E8E8E8	333333	990100	B90504
1C0113	6B0103	A30006	C21A01	F03C02
5E3929	CD8C52	B7D1A3	DEE8BE	FCF7D3
E3DFBA	C8D6BF	93CCC6	6CBDB5	1A1F1E
5E9FA3	DCD1B4	FAB87F	F87E7B	B05574
951F2B	F5F4D7	E0DFB1	A5A36C	535233
C1B398	605951	FBEEC2	61A6AB	ACCEC0
8DCCAD	988864	FEA6A2	F9D6AC	FFE9AF
2D2D29	215A6D	3CA2A2	92C7A3	DFECE6
FFEFD3	FFFEE4	D0ECEA	9FD6D2	8B7A5E
413D3D	040004	C8FF00	FA023C	4B000F
FF003C	FF8A00	FABE28	88C100	00C176
EFF3CD	B2D5BA	61ADA0	248F8D	605063
F8EDD1	D88A8A	474843	9D9D93	C5CFC6
046D8B	309292	2FB8AC	93A42A	ECBE13
F38A8A	55443D	A0CAB5	CDE9CA	F1EDD0
A70267	F10C49	FB6B41	F6D86B	339194
9DC9AC	FFFEC7	F56218	FF9D2E	919167
CFFFDD	B4DEC1	5C5863	A85163	FF1F4C
4D3B3B	DE6262	FFB88C	FFD0B3	F5E0D3
4E395D	827085	8EBE94	CCFC8E	DC5B3E
A8A7A7	CC527A	E8175D	474747	363636
4E4D4A	353432	94BA65	2790B0	2B4E72
FFEDBF	F7803C	F54828	2E0D23	F8E4C1
0CA5B0	4E3F30	FEFEEB	F8F4E4	A5B3AA
FFFBB7	A6F6AF	66B6AB	5B7C8D	4F2958
AAFF00	FFAA00	FF00AA	AA00FF	00AAFF
EDF6EE	D1C089	B3204D	412E28	151101
9D7E79	CCAC95	9A947C	748B83	5B756C
805841	DCF7F3	FFFCDD	FFD8D8	F5A2A2
FCFEF5	E9FFE1	CDCFB7	D6E6C3	FAFBE3
30261C	403831	36544F	1F5F61	0B8185
9CDDC8	BFD8AD	DDD9AB	F7AF63	633D2E
73C8A9	DEE1B6	E1B866	BD5532	373B44
D1313D	E5625C	F9BF76	8EB2C5	615375
111625	341931	571B3C	7A1E48	9D2053
FFE181	EEE9E5	FAD3B2	FFBA7F	FF9C97
CAFF42	EBF7F8	D0E0EB	88ABC2	49708A
379F7A	78AE62	BBB749	E0FBAC	1F1C0D
82837E	94B053	BDEB07	BFFA37	E0E0E0
C2412D	D1AA34	A7A844	A46583	5A1E4A
75616B	BFCFF7	DCE4F7	F8F3BF	D34017
312736	D4838F	D6ABB1	D9D9D9	C4FFEB
7E5686	A5AAD9	E8F9A2	F8A13F	BA3C3D
395A4F	432330	853C43	F25C5E	FFA566
FDE6BD	A1C5AB	F4DD51	D11E48	632F53
11644D	A0B046	F2C94E	F78145	F24E4E
EFD9B4	D6A692	A39081	4D6160	292522
84B295	ECCF8D	BB8138	AC2005	2C1507
058789	503D2E	D54B1A	E3A72F	F0ECC9
E21B5A	9E0C39	333333	FBFFE3	83A300
BED6C7	ADC0B4	8A7E66	A79B83	BBB2A1
F2E3C6	FFC6A5	E6324B	2B2B2B	353634
C75233	C78933	D6CEAA	79B5AC	5E2F46
6DA67A	77B885	86C28B	859987	4A4857
512B52	635274	7BB0A8	A7DBAB	E4F5B1
261C21	6E1E62	B0254F	DE4126	EB9605
793A57	4D3339	8C873E	D1C5A5	A38A5F
FDFFD9	FFF0B8	FFD6A3	FAAD8E	142F30
B5AC01	ECBA09	E86E1C	D41E45	1B1521
B7CBBF	8C886F	F9A799	F4BFAD	F5DABD
59B390	F0DDAA	E47C5D	E32D40	152B3C
331327	991766	D90F5A	F34739	FF6E27
595643	4E6B66	ED834E	EBCC6E	EBE1C5
C7FCD7	D9D5A7	D9AB91	E6867A	ED4A6A
11766D	410936	A40B54	E46F0A	F0B300
EFEECC	FE8B05	FE0557	400403	0AABBA
F1396D	FD6081	F3FFEB	ACC95F	8F9924
FFB884	F5DF98	FFF8D4	C0D1C2	2E4347
E0EFF1	7DB4B5	FFFFFF	680148	000000
E4DED0	ABCCBD	7DBEB8	181619	E32F21
B1E6D1	77B1A9	3D7B80	270A33	451A3E
BF496A	B39C82	B8C99D	F0D399	595151
E5EAA4	A8C4A2	69A5A4	616382	66245B
44749D	C6D4E1	FFFFFF	EBE7E0	BDB8AD
CFB590	9E9A41	758918	564334	49281F
E9E0D1	91A398	33605A	070001	68462B
E7EDEA	FFC52C	FB0C06	030D4F	CEECEF
FC284F	FF824A	FEA887	F6E7F7	D1D0D7
5CACC4	8CD19D	CEE879	FCB653	FF5254
311D39	67434F	9B8E7E	C3CCAF	A51A41
6DA67A	99A66D	A9BD68	B5CC6A	C0DE5D
FFAB07	E9D558	72AD75	0E8D94	434D53
2B222C	5E4352	965D62	C7956D	F2D974
807462	A69785	B8FAFF	E8FDFF	665C49
EB9C4D	F2D680	F3FFCF	BAC9A9	697060
360745	D61C59	E7D84B	EFEAC5	1B8798
E3E8CD	BCD8BF	D3B9A3	EE9C92	FE857E
CC5D4C	FFFEC6	C7D1AF	96B49C	5B5847
E4E4C5	B9D48B	8D2036	CE0A31	D3E4C5
F2E8C4	98D9B6	3EC9A7	2B879E	616668
8D7966	A8A39D	D8C8B8	E2DDD9	F8F1E9
CCF390	E0E05A	F7C41F	FC930A	FF003D
EC4401	CC9B25	13CD4A	7B6ED6	5E525C
E65540	F8ECC2	65A8A6	79896D
FFF3DB	E7E4D5	D3C8B4	C84648	703E3B
F0FFC9	A9DA88	62997A	72243D	3B0819
041122	259073	7FDA89	C8E98E	E6F99D
429398	6B5D4D	B0A18F	DFCDB4	FBEED3
F5DD9D	BCC499	92A68A	7B8F8A	506266
1D1313	24B694	D22042	A3B808	30C4C9
FB6900	F63700	004853	007E80	00B9BD
9D9E94	C99E93	F59D92	E5B8AD	D5D2C8
C6CCA5	8AB8A8	6B9997	54787D	615145
2D1B33	F36A71	EE887A	E4E391	9ABC8A
540045	C60052	FF714B	EAFF87	ACFFE9
322938	89A194	CFC89A	CC883A	A14016
95A131	C8CD3B	F6F1DE	F5B9AE	EE0B5B
4B1139	3B4058	2A6E78	7A907C	C9B180
79254A	795C64	79927D	AEB18E	E3CF9E
2B2726	0A516D	018790	7DAD93	BACCA4
452E3C	FF3D5A	FFB969	EAF27E	3B8C88
027B7F	FFA588	D62957	BF1E62	572E4F
FA6A64	7A4E48	4A4031	F6E2BB	9EC6B8
F06D61	DA825F	C4975C	A8AB7B	8CBF99
23192D	FD0A54	F57576	FEBF97	F5ECB7
F6D76B	FF9036	D6254D	FF5475	FDEBA9
